Var1,Var2,Var3,Var4,Var5,Var6
02261619340431,human_9,1.8,ank,1,0.0029661346928515
02261614150432,human_9,1.8,ank,0,0.7860093381242
02261615580531,human_9,1.6,ank,1,0.00401583612986201
02261614330532,human_9,1.6,ank,0,0.00908086530632256
02261616210141,human_9,2.0754,hk,1,0.000221770029880986
02261615100142,human_9,2.0754,hk,0,0.0163583956483822
02261615030241,human_9,2.1,hk,1,0.0409710402348883
02261609570242,human_9,2.1,hk,0,0.000471227004046061
02261615360341,human_9,2.2,hk,1,0.0105295000891884
02261616100342,human_9,2.2,hk,0,0.0138252555966084
02261611120441,human_9,1.8,hk,1,0.00468400199227906
02261619510442,human_9,1.8,hk,0,0.000911681535860898
02261614540541,human_9,1.6,hk,1,0.000496774018210753
02261617160542,human_9,1.6,hk,0,3.90526673371113
02261714010151,human_9,2.0754,ha,1,1.88177167694169e-05
02261647170152,human_9,2.0754,ha,0,0.0207338436430906
02261700350251,human_9,2.1,ha,1,1.17917110713642
02261632590252,human_9,2.1,ha,0,0.00966724242626416
02261722560351,human_9,2.2,ha,1,0.000414337478980291
02261649550352,human_9,2.2,ha,0,0.000276704662298248
02261634110451,human_9,1.8,ha,1,0.0121082206645541
02261556430452,human_9,1.8,ha,0,6.64316077560212e-05
02261715440551,human_9,1.6,ha,1,0.00118760466778687
02261641350552,human_9,1.6,ha,0,0.00844520804222277
02261716290161,human_9,2.0754,ka,1,0.00125841223893229
02261645370162,human_9,2.0754,ka,0,0.0117494453614939
02261707520261,human_9,2.1,ka,1,0.0690093865197464
02261637310262,human_9,2.1,ka,0,0.0193971437995086
02261710540361,human_9,2.2,ka,1,0.0251140750343478
02261639250362,human_9,2.2,ka,0,0.00565520702773598
02261653480461,human_9,1.8,ka,1,0.000291652845144477
02261618520462,human_9,1.8,ka,0,0.00140922406889575
02261718170561,human_9,1.6,ka,1,0.423436319812939
02261647360562,human_9,1.6,ka,0,0.000430244313592054
02261718570101,human_9_load,2.0754,base,1,0.00305727225892821
02261651070102,human_9_load,2.0754,base,0,0.00180326463088468
02261724360201,human_9_load,2.1,base,1,0.00125343049562826
02261653090202,human_9_load,2.1,base,0,0.000101540211982003
02261723400301,human_9_load,2.2,base,1,0.0151298780320826
02261653060302,human_9_load,2.2,base,0,0.00504216494165505
02261716340401,human_9_load,1.8,base,1,0.00529535963218876
02261646500402,human_9_load,1.8,base,0,0.0133732580673403
02261712540501,human_9_load,1.6,base,1,9.79754029278279e-05
02261647130502,human_9_load,1.6,base,0,0.00288794830265372
02261653560111,human_9_load,2.0754,hip,1,0.0202686303375932
02261626200112,human_9_load,2.0754,hip,0,0.00115531463489297
02261720420211,human_9_load,2.1,hip,1,0.295755933248063
02261645230212,human_9_load,2.1,hip,0,0.00162836637822806
02261648490311,human_9_load,2.2,hip,1,0.266533844430302
02261614170312,human_9_load,2.2,hip,0,3.62045093375452e-05
02261725170411,human_9_load,1.8,hip,1,0.0122300852524188
02261653190412,human_9_load,1.8,hip,0,0.00733464661136143
02261719270511,human_9_load,1.6,hip,1,0.0126924195725777
02261645370512,human_9_load,1.6,hip,0,0.00221798491923433
02261717580121,human_9_load,2.0754,knee,1,0.0373695597350122
02261649010122,human_9_load,2.0754,knee,0,4.10140979239702
02261723040221,human_9_load,2.1,knee,1,0.0041449416299727
02261650460222,human_9_load,2.1,knee,0,0.000195313925796183
02261718210321,human_9_load,2.2,knee,1,0.0824043165803177
02261647130322,human_9_load,2.2,knee,0,0.0322242575017375
02261717400421,human_9_load,1.8,knee,1,0.007947789421105
02261646200422,human_9_load,1.8,knee,0,0.0133296097592561
02261727220521,human_9_load,1.6,knee,1,0.00100944866496771
02261652560522,human_9_load,1.6,knee,0,0.0190720965656743
02261718320131,human_9_load,2.0754,ank,1,0.172068080485346
02261648450132,human_9_load,2.0754,ank,0,0.0259229323923458
02261718420231,human_9_load,2.1,ank,1,4.44358743111123
02261651200232,human_9_load,2.1,ank,0,0.372728473425906
02261724200331,human_9_load,2.2,ank,1,0.251814280164847
02261653000332,human_9_load,2.2,ank,0,0.0182906491483103
02261704240431,human_9_load,1.8,ank,1,0.00237121831073959
02261635500432,human_9_load,1.8,ank,0,0.00856806028722497
02261724030531,human_9_load,1.6,ank,1,0.766676241910496
02261652020532,human_9_load,1.6,ank,0,0.00788959955061389
02261722000141,human_9_load,2.0754,hk,1,0.00524038032674857
02261653500142,human_9_load,2.0754,hk,0,0.000453344980040703
02261715200241,human_9_load,2.1,hk,1,0.00217282763904105
02261647520242,human_9_load,2.1,hk,0,0.00198462902722099
02261704440341,human_9_load,2.2,hk,1,0.0108083554764439
