fileName,modelName,hipLen,weight,kneeDir,constViolat
03220149120401,human_9,2.1,base,1,8.5958345318351e-05
03200935540211,human_9,2.1,hip,1,0.0070449935492633295
03200946360221,human_9,2.1,knee,1,0.00180565223461422
03200941570231,human_9,2.1,ank,1,0.0015965985677386901
03200952570241,human_9,2.1,hk,1,0.000230284662904903
03200935580251,human_9,2.1,ha,1,1.77335965943558e-05
03200935130261,human_9,2.1,ka,1,0.00293264781450428
03201045580202,human_9,2.1,base,0,0.0011790002034146301
03200805260212,human_9,2.1,hip,0,0.000633150621322593
03220647240420,human_9,2.1,knee,0,0.00677490035447213
03200902130232,human_9,2.1,ank,0,1.0191111523585303e-05
03200755260242,human_9,2.1,hk,0,0.000259729652555454
03200930360252,human_9,2.1,ha,0,0.0003565336507242
03200942300262,human_9,2.1,ka,0,6.868294726543061e-06
03201025380201,human_9_load,2.1,base,1,0.00142883190885291
03220552290411,human_9_load,2.1,hip,1,2.9008251810138697e-05
03201004160221,human_9_load,2.1,knee,1,0.00161590782468614
03201416470231,human_9_load,2.1,ank,1,0.000174648204130152
03201143010241,human_9_load,2.1,hk,1,0.000585165180883158
03220204080451,human_9_load,2.1,ha,1,0.00070576170558611
03230147300461,human_9_load,2.1,ka,1,0.0012771416772698698
03200924510202,human_9_load,2.1,base,0,6.23185420905782e-06
03200756090212,human_9_load,2.1,hip,0,0.00423429062392812
03200955230222,human_9_load,2.1,knee,0,0.000653381453468855
03220144430430,human_9_load,2.1,ank,0,0.00359949811388581
03201051100242,human_9_load,2.1,hk,0,0.0063376227230427795
03201116010252,human_9_load,2.1,ha,0,0.00501727071315334
03230132090460,human_9_load,2.1,ka,0,0.0008570804997520808
03201904450201,human_9_load2,2.1,base,1,0.000593538428887941
03220123050411,human_9_load2,2.1,hip,1,1.9714610521535106e-05
03201219140221,human_9_load2,2.1,knee,1,0.000159882625336152
03201429550231,human_9_load2,2.1,ank,1,0.00846011964763029
03230156590441,human_9_load2,2.1,hk,1,0.00174589862104982
03220215290451,human_9_load2,2.1,ha,1,0.0013377547259427
03220548570461,human_9_load2,2.1,ka,1,0.00521993542116725
03201648590202,human_9_load2,2.1,base,0,0.00784388012080978
03201006560212,human_9_load2,2.1,hip,0,6.4117259165131e-06
03201052470222,human_9_load2,2.1,knee,0,0.0006331757726923138
03201152220232,human_9_load2,2.1,ank,0,7.4913294110468e-06
03201001470242,human_9_load2,2.1,hk,0,0.0059048485821919
03220155010450,human_9_load2,2.1,ha,0,0.00044540575674885293
03201044270262,human_9_load2,2.1,ka,0,4.16874695325919e-05
03201346550201,human_9_load3,2.1,base,1,0.0044552596591495
03221428000411,human_9_load3,2.1,hip,1,0.0060126192646319295
03201456130221,human_9_load3,2.1,knee,1,0.00931522166793481
03220548410431,human_9_load3,2.1,ank,1,0.004181754877397171
03201357460241,human_9_load3,2.1,hk,1,0.000317073766588152
03220304570451,human_9_load3,2.1,ha,1,0.00320705538278706
03201415080261,human_9_load3,2.1,ka,1,0.000673596165252199
03201145180202,human_9_load3,2.1,base,0,2.6183171113978e-05
03201039350212,human_9_load3,2.1,hip,0,0.000345674353687231
03201229210222,human_9_load3,2.1,knee,0,0.00794644405594428
03201110100232,human_9_load3,2.1,ank,0,0.0009209507556031233
03201228330242,human_9_load3,2.1,hk,0,0.000263548537629095
03201130240252,human_9_load3,2.1,ha,0,0.00435142327454766
03220028050460,human_9_load3,2.1,ka,0,0.00420425291048219
03231814090401,human_9_exo_load,2.1,base,1,0.000221664498392846
03221425510411,human_9_exo_load,2.1,hip,1,0.00024216742348484
