Var1,Var2,Var3,Var4,Var5,Var6
02262310200101,human_9,2.0754,base,1,1418.59191711278
02262310180102,human_9,2.0754,base,0,2587.21154033715
02262310170201,human_9,2.1,base,1,1434.62174543943
02262310150202,human_9,2.1,base,0,2602.88725552918
02262310190301,human_9,2.2,base,1,1499.7519936816
02262310180302,human_9,2.2,base,0,2666.28023491582
02262310160401,human_9,1.8,base,1,1238.62120501247
02262310150402,human_9,1.8,base,0,2409.75852419013
02262310190501,human_9,1.6,base,1,1107.13942191432
02262310180502,human_9,1.6,base,0,2278.86524285841
02262310160111,human_9,2.0754,hip,1,1418.59191711278
02262310140112,human_9,2.0754,hip,0,2587.21154033715
02262310190211,human_9,2.1,hip,1,1434.62174543943
02262310170212,human_9,2.1,hip,0,2602.88725552918
02262310160311,human_9,2.2,hip,1,1499.7519936816
02262310140312,human_9,2.2,hip,0,2666.28023491582
02262310190411,human_9,1.8,hip,1,1238.62120501247
02262310180412,human_9,1.8,hip,0,2409.75852419013
02262310160511,human_9,1.6,hip,1,1107.13942191432
02262310140512,human_9,1.6,hip,0,2278.86524285841
02262310190121,human_9,2.0754,knee,1,1418.59191711278
02262310180122,human_9,2.0754,knee,0,2587.21154033715
02262310160221,human_9,2.1,knee,1,1434.62174543943
02262310150222,human_9,2.1,knee,0,2602.88725552918
02262310190321,human_9,2.2,knee,1,1499.7519936816
02262310180322,human_9,2.2,knee,0,2666.28023491582
02262310160421,human_9,1.8,knee,1,1238.62120501247
02262310150422,human_9,1.8,knee,0,2409.75852419013
02262310190521,human_9,1.6,knee,1,1107.13942191432
02262310180522,human_9,1.6,knee,0,2278.86524285841
02262310160131,human_9,2.0754,ank,1,1418.59191711278
02262310150132,human_9,2.0754,ank,0,2587.21154033715
02262311080231,human_9,2.1,ank,1,1434.62174543943
02262311060232,human_9,2.1,ank,0,2602.88725552918
02262311050331,human_9,2.2,ank,1,1499.7519936816
02262311030332,human_9,2.2,ank,0,2666.28023491582
02262311010431,human_9,1.8,ank,1,1238.62120501247
02262311000432,human_9,1.8,ank,0,2409.75852419013
02262310590531,human_9,1.6,ank,1,1107.13942191432
02262310570532,human_9,1.6,ank,0,2278.86524285841
02262310550141,human_9,2.0754,hk,1,1418.59191711278
02262310540142,human_9,2.0754,hk,0,2587.21154033715
02262310520241,human_9,2.1,hk,1,1434.62174543943
02262310510242,human_9,2.1,hk,0,2602.88725552918
02262310490341,human_9,2.2,hk,1,1499.7519936816
02262310480342,human_9,2.2,hk,0,2666.28023491582
02262310460441,human_9,1.8,hk,1,1238.62120501247
02262310440442,human_9,1.8,hk,0,2409.75852419013
02262310430541,human_9,1.6,hk,1,1107.13942191432
02262310410542,human_9,1.6,hk,0,2278.86524285841
02262310390151,human_9,2.0754,ha,1,1418.59191711278
02262310380152,human_9,2.0754,ha,0,2587.21154033715
02262310360251,human_9,2.1,ha,1,1434.62174543943
02262310340252,human_9,2.1,ha,0,2602.88725552918
02262310330351,human_9,2.2,ha,1,1499.7519936816
02262310310352,human_9,2.2,ha,0,2666.28023491582
02262310290451,human_9,1.8,ha,1,1238.62120501247
02262310270452,human_9,1.8,ha,0,2409.75852419013
02262310260551,human_9,1.6,ha,1,1107.13942191432
02262310240552,human_9,1.6,ha,0,2278.86524285841
02262310210161,human_9,2.0754,ka,1,1418.59191711278
02262311090162,human_9,2.0754,ka,0,2587.21154033715
02262311070261,human_9,2.1,ka,1,1434.62174543943
02262311060262,human_9,2.1,ka,0,2602.88725552918
02262311040361,human_9,2.2,ka,1,1499.7519936816
02262311020362,human_9,2.2,ka,0,2666.28023491582
02262311010461,human_9,1.8,ka,1,1238.62120501247
02262310590462,human_9,1.8,ka,0,2409.75852419013
02262310580561,human_9,1.6,ka,1,1107.13942191432
02262310560562,human_9,1.6,ka,0,2278.86524285841
02262310540101,human_9_load,2.0754,base,1,1418.59191711278
02262310520102,human_9_load,2.0754,base,0,2587.21154033715
02262310510201,human_9_load,2.1,base,1,1434.62174543943
02262310490202,human_9_load,2.1,base,0,2602.88725552918
