fileName,modelName,hipLen,weight,kneeDir,constViolat
02271714430101,human_9,2.0754,base,1,1418.59191833068
02271714430102,human_9,2.0754,base,0,2587.2113608083
02271714430201,human_9,2.1,base,1,1434.62174543943
02271714430202,human_9,2.1,base,0,2602.88725552918
02271714440301,human_9,2.2,base,1,1499.7519936816
02271714430302,human_9,2.2,base,0,2666.28023491582
02271714430401,human_9,1.8,base,1,1238.62120501247
02271714430402,human_9,1.8,base,0,2409.75852419013
02271714430501,human_9,1.6,base,1,1107.13942191432
02271714410502,human_9,1.6,base,0,2278.86524285841
02271714410111,human_9,2.0754,hip,1,1418.59191833068
02271714410112,human_9,2.0754,hip,0,2587.2113608083
02271714420211,human_9,2.1,hip,1,1434.62174543943
02271714410212,human_9,2.1,hip,0,2602.88725552918
02271714410311,human_9,2.2,hip,1,1499.7519936816
02271714420312,human_9,2.2,hip,0,2666.28023491582
02271714420411,human_9,1.8,hip,1,1238.62120501247
02271714420412,human_9,1.8,hip,0,2409.75852419013
02271714420511,human_9,1.6,hip,1,1107.13942191432
02271714410512,human_9,1.6,hip,0,2278.86524285841
02271714420121,human_9,2.0754,knee,1,1418.59191833068
02271714410122,human_9,2.0754,knee,0,2587.2113608083
02271714410221,human_9,2.1,knee,1,1434.62174543943
02271714430222,human_9,2.1,knee,0,2602.88725552918
02271714430321,human_9,2.2,knee,1,1499.7519936816
02271714420322,human_9,2.2,knee,0,2666.28023491582
02271714410421,human_9,1.8,knee,1,1238.62120501247
02271714420422,human_9,1.8,knee,0,2409.75852419013
02271714420521,human_9,1.6,knee,1,1107.13942191432
02271714420522,human_9,1.6,knee,0,2278.86524285841
02271714420131,human_9,2.0754,ank,1,1418.59191833068
02271714420132,human_9,2.0754,ank,0,2587.2113608083
02271714420231,human_9,2.1,ank,1,1434.62174543943
02271714420232,human_9,2.1,ank,0,2602.88725552918
02271714420331,human_9,2.2,ank,1,1499.7519936816
02271714420332,human_9,2.2,ank,0,2666.28023491582
02271714420431,human_9,1.8,ank,1,1238.62120501247
02271714420432,human_9,1.8,ank,0,2409.75852419013
02271714420531,human_9,1.6,ank,1,1107.13942191432
02271714420532,human_9,1.6,ank,0,2278.86524285841
02271714430141,human_9,2.0754,hk,1,1418.59191833068
02271714420142,human_9,2.0754,hk,0,2587.2113608083
02271714420241,human_9,2.1,hk,1,1434.62174543943
02271714420242,human_9,2.1,hk,0,2602.88725552918
02271714420341,human_9,2.2,hk,1,1499.7519936816
02271714420342,human_9,2.2,hk,0,2666.28023491582
02271714420441,human_9,1.8,hk,1,1238.62120501247
02271714430442,human_9,1.8,hk,0,2409.75852419013
02271714420541,human_9,1.6,hk,1,1107.13942191432
02271714420542,human_9,1.6,hk,0,2278.86524285841
02271715030151,human_9,2.0754,ha,1,1418.59191833068
02271714580152,human_9,2.0754,ha,0,2587.2113608083
02271714530251,human_9,2.1,ha,1,1434.62174543943
02271714480252,human_9,2.1,ha,0,2602.88725552918
02271715030351,human_9,2.2,ha,1,1499.7519936816
02271714590352,human_9,2.2,ha,0,2666.28023491582
02271714540451,human_9,1.8,ha,1,1238.62120501247
02271714480452,human_9,1.8,ha,0,2409.75852419013
02271715030551,human_9,1.6,ha,1,1107.13942191432
02271714580552,human_9,1.6,ha,0,2278.86524285841
02271714530161,human_9,2.0754,ka,1,1418.59191833068
02271714490162,human_9,2.0754,ka,0,2587.2113608083
02271715050261,human_9,2.1,ka,1,1434.62174543943
02271715000262,human_9,2.1,ka,0,2602.88725552918
02271714540361,human_9,2.2,ka,1,1499.7519936816
02271714490362,human_9,2.2,ka,0,2666.28023491582
02271715060461,human_9,1.8,ka,1,1238.62120501247
02271715000462,human_9,1.8,ka,0,2409.75852419013
02271714540561,human_9,1.6,ka,1,1107.13942191432
02271714490562,human_9,1.6,ka,0,2278.86524285841
02271715050101,human_9_load,2.0754,base,1,1418.59191833068
02271715000102,human_9_load,2.0754,base,0,2587.2113608083
02271714550201,human_9_load,2.1,base,1,1434.62174543943
02271714490202,human_9_load,2.1,base,0,2602.88725552918
02271715060301,human_9_load,2.2,base,1,1499.7519936816
02271715000302,human_9_load,2.2,base,0,2666.28023491582
02271714560401,human_9_load,1.8,base,1,1238.62120501247
02271714500402,human_9_load,1.8,base,0,2409.75852419013
02271715060501,human_9_load,1.6,base,1,1107.13942191432
