Var1,Var2,Var3,Var4,Var5,Var6
0226020439,human_9_exo_load,2.0754,hip,1,0
0226041408,human_9_exo_load,2.0754,hip,0,0
0226034130,human_9_exo_load,2.1,hip,1,0
0226030220,human_9_exo_load,2.1,hip,0,0
0226022258,human_9_exo_load,2.2,hip,1,0
0226015117,human_9_exo_load,2.2,hip,0,0
0226042641,human_9_exo_load,1.8,hip,1,0
0226034612,human_9_exo_load,1.8,hip,0,0
0226031151,human_9_exo_load,1.6,hip,1,0
0226044940,human_9_exo_load,1.6,hip,0,0
0226041034,human_9_exo_load,2.0754,knee,1,0
0226033757,human_9_exo_load,2.0754,knee,0,0
0226052900,human_9_exo_load,2.1,knee,1,0
0226045736,human_9_exo_load,2.1,knee,0,0
0226042251,human_9_exo_load,2.2,knee,1,0
0226054757,human_9_exo_load,2.2,knee,0,0
0226051649,human_9_exo_load,1.8,knee,1,0
0226043522,human_9_exo_load,1.8,knee,0,0
0226052804,human_9_exo_load,1.6,knee,1,0
0226045553,human_9_exo_load,1.6,knee,0,0
0226042117,human_9_exo_load,2.0754,ank,1,0
0226053835,human_9_exo_load,2.0754,ank,0,0
0226050308,human_9_exo_load,2.1,ank,1,0
0226042546,human_9_exo_load,2.1,ank,0,0
0226052827,human_9_exo_load,2.2,ank,1,0
0226045925,human_9_exo_load,2.2,ank,0,0
0226044627,human_9_exo_load,1.8,ank,1,0
0226055832,human_9_exo_load,1.8,ank,0,0
0226052437,human_9_exo_load,1.6,ank,1,0
0226045435,human_9_exo_load,1.6,ank,0,0
0226051003,human_9_exo_load,2.0754,hk,1,0
0226043711,human_9_exo_load,2.0754,hk,0,0
0226055853,human_9_exo_load,2.1,hk,1,0
0226052937,human_9_exo_load,2.1,hk,0,0
0226062629,human_9_exo_load,2.2,hk,1,0
0226060248,human_9_exo_load,2.2,hk,0,0
0226063656,human_9_exo_load,1.8,hk,1,0
0226061320,human_9_exo_load,1.8,hk,0,0
0226064759,human_9_exo_load,1.6,hk,1,0
0226062608,human_9_exo_load,1.6,hk,0,0
0226055819,human_9_exo_load,2.0754,ha,1,0
0226064822,human_9_exo_load,2.0754,ha,0,0
0226063505,human_9_exo_load,2.1,ha,1,0
0226060749,human_9_exo_load,2.1,ha,0,0
0226063207,human_9_exo_load,2.2,ha,1,0
0226062643,human_9_exo_load,2.2,ha,0,0
0226055707,human_9_exo_load,1.8,ha,1,0
0226070714,human_9_exo_load,1.8,ha,0,0
0226064906,human_9_exo_load,1.6,ha,1,0
0226062903,human_9_exo_load,1.6,ha,0,0
