Var1,Var2,Var3,Var4,Var5,Var6
02261538130101,human_9,2.0754,base,1,0.0188388621997533
02261550320111,human_9,2.0754,hip,1,0.004467649534527479
02262327390121,human_9,2.0754,knee,1,0.000195624080868866
02270027230131,human_9,2.0754,ank,1,0.30402852170853006
02270034170141,human_9,2.0754,hk,1,0.0207660099366487
02262020320151,human_9,2.0754,ha,1,0.004912833905334001
02262121520161,human_9,2.0754,ka,1,6.139872594825191e-05
02261508370102,human_9,2.0754,base,0,3.59175205069784e-05
02261509530112,human_9,2.0754,hip,0,8.043936577818879e-05
02262254310122,human_9,2.0754,knee,0,0.00690834532205066
02262359140132,human_9,2.0754,ank,0,2.2288692254870398e-05
02270030290142,human_9,2.0754,hk,0,0.0509407958280716
02261951580152,human_9,2.0754,ha,0,4.94227587549356e-05
02262054150162,human_9,2.0754,ka,0,0.0840184733084085
02262229490101,human_9_load,2.0754,base,1,0.00317749811878144
02262305060111,human_9_load,2.0754,hip,1,0.0025547494127254
02270037050121,human_9_load,2.0754,knee,1,0.000312248770172564
02270722130131,human_9_load,2.0754,ank,1,0.0639715110800586
02270228070141,human_9_load,2.0754,hk,1,0.00183152319209575
02270241510151,human_9_load,2.0754,ha,1,0.00123312616561566
02270440590161,human_9_load,2.0754,ka,1,0.00843958889668608
02262201310102,human_9_load,2.0754,base,0,0.000201018345502519
02262236490112,human_9_load,2.0754,hip,0,0.0597488256991691
02270007540122,human_9_load,2.0754,knee,0,0.000276314691140891
02270656100132,human_9_load,2.0754,ank,0,0.00012059201350911001
02270200330142,human_9_load,2.0754,hk,0,0.00227557006677381
02270212180152,human_9_load,2.0754,ha,0,0.000107510819242027
02270414590162,human_9_load,2.0754,ka,0,6.239466661664079e-05
02270125310101,human_9_exo_load,2.0754,base,1,0.0018151357857078398
02270502590111,human_9_exo_load,2.0754,hip,1,0.000438161669041079
02270548260121,human_9_exo_load,2.0754,knee,1,0.0892779555668096
02270544570131,human_9_exo_load,2.0754,ank,1,0.00138781586613223
02270702490141,human_9_exo_load,2.0754,hk,1,9.33541148522932e-05
02270806050151,human_9_exo_load,2.0754,ha,1,0.12050469412177699
02270835440161,human_9_exo_load,2.0754,ka,1,0.0012044459464225698
02270058450102,human_9_exo_load,2.0754,base,0,0.0025784014684787603
02270438120112,human_9_exo_load,2.0754,hip,0,0.00913665971825196
02270518270122,human_9_exo_load,2.0754,knee,0,0.00496939852322801
02270515130132,human_9_exo_load,2.0754,ank,0,0.0137403311423078
02270716550142,human_9_exo_load,2.0754,hk,0,0.15094167506757597
02270735440152,human_9_exo_load,2.0754,ha,0,0.00255373162628582
02270835200162,human_9_exo_load,2.0754,ka,0,0.0412301900175625
